OrderID,CustomerID,Product,Category,Quantity,Price,OrderDate,Region,Total Amount,Order_Year,Order_Month
O100060,C3786,Phone,Electronics,3,338.02,12,north,1014.06,2024,12
O100061,C4561,Phone,Electronics,3,729.99,8,SOUTH,2189.9700000000003,2025,8
O100062,C1026,Phone,Electronics,1,400.83,5,EAST,400.83,2025,5
O100063,C3157,Phone,Electronics,1,517.73,6,North,517.73,2025,6
O100064,C2463,Watch,Fashion,3,795.92,3,West,2387.7599999999998,2025,3
O100065,C1871,Book,Stationery,2,78.9,1,EAST,157.8,2025,1
O100066,C3444,Bag,Fashion,4,840.13,1,north,3360.52,2025,1
O100067,C5158,Laptop,Electronics,1,643.06,6,north,643.06,2025,6
O100068,C2252,Laptop,Electronics,4,381.11,10,EAST,1524.44,2024,10
O100069,C2323,Book,Stationery,2,999.46,12,EAST,1998.92,2024,12
O100070,C5344,Laptop,Electronics,2,969.57,10,West,1939.14,2024,10
O100071,C5906,Shoes,Fashion,2,579.34,12,east,1158.68,2024,12
O100072,C1159,Shoes,Fashion,1,370.84,8,SOUTH,370.84,2025,8
O100073,C3973,Phone,Electronics,2,68.78,10,West,137.56,2024,10
O100074,C3519,Headphones,Electronics,1,468.88,1,east,468.88,2025,1
O100075,C2973,Watch,Fashion,2,526.08,4,north,1052.16,2025,4
O100076,C1645,Headphones,Electronics,4,898.08,7,EAST,3592.32,2025,7
O100077,C4981,Book,Stationery,4,880.72,9,SOUTH,3522.88,2025,9
O100078,C5363,Watch,Fashion,3,762.16,6,North,2286.48,2025,6
O100079,C2051,Watch,Fashion,4,996.73,1,east,3986.92,2025,1
O100080,C5503,Book,Stationery,3,137.87,3,West,413.61,2025,3
O100081,C5322,Book,Stationery,4,686.29,2,EAST,2745.16,2025,2
O100082,C4466,Shoes,Fashion,1,242.03,8,North,242.03,2025,8
O100083,C5417,Laptop,Electronics,4,376.22,10,EAST,1504.88,2024,10
O100084,C2647,Bag,Fashion,3,687.24,2,east,2061.7200000000003,2025,2
O100085,C4268,Headphones,Electronics,3,87.79,11,West,263.37,2024,11
O100086,C4059,Laptop,Electronics,2,401.92,7,SOUTH,803.84,2025,7
O100087,C5239,Watch,Fashion,1,22.92,7,east,22.92,2025,7
O100088,C3030,Phone,Electronics,4,578.92,8,north,2315.68,2025,8
O100089,C3769,Phone,Electronics,2,90.17,3,West,180.34,2025,3
O100090,C5537,Laptop,Electronics,4,618.72,7,EAST,2474.88,2025,7
O100091,C2804,Book,Stationery,4,682.51,6,EAST,2730.04,2025,6
O100092,,Watch,Fashion,2,558.38,9,SOUTH,1116.76,2025,9
O100093,C1482,Watch,Fashion,2,524.69,9,EAST,1049.38,2025,9
O100094,C1257,Phone,Electronics,2,7.75,10,West,15.5,2024,10
O100095,C1580,Headphones,Electronics,2,703.94,3,North,1407.88,2025,3
O100096,C3281,Book,Stationery,2,473.92,12,North,947.84,2024,12
O100097,C2755,Bag,Fashion,4,693.68,6,North,2774.72,2025,6
O100098,C5677,Shoes,Fashion,2,780.55,3,SOUTH,1561.1,2025,3
O100099,C2990,Phone,Electronics,1,686.73,5,SOUTH,686.73,2025,5
O100100,C4334,Laptop,Electronics,3,488.47,7,EAST,1465.41,2025,7
O100101,C1794,Shoes,Fashion,2,898.92,11,SOUTH,1797.84,2024,11
O100102,C3902,Headphones,Electronics,2,370.18,4,SOUTH,740.36,2025,4
O100103,C4825,Phone,Electronics,4,44.21,1,West,176.84,2025,1
O100104,C1443,Phone,Electronics,2,470.0,10,EAST,940.0,2024,10
O100105,C1806,Shoes,Fashion,2,107.94,1,SOUTH,215.88,2025,1
O100106,C3779,Phone,Electronics,2,-50.0,9,east,-100.0,2025,9
O100107,C1895,Headphones,Electronics,4,473.94,6,north,1895.76,2025,6
O100108,C2558,Headphones,Electronics,2,288.81,4,SOUTH,577.62,2025,4
O100109,C2148,Phone,Electronics,3,288.56,1,north,865.6800000000001,2025,1
O100110,C3281,Headphones,Electronics,4,228.81,12,EAST,915.24,2024,12
O100111,C1617,Headphones,Electronics,3,975.17,9,EAST,2925.5099999999998,2025,9
O100112,C5508,Headphones,Electronics,4,581.09,4,West,2324.36,2025,4
O100113,C5428,Bag,Fashion,2,733.35,9,West,1466.7,2025,9
O100114,C1764,Watch,Fashion,3,599.12,6,east,1797.3600000000001,2025,6
O100115,C2936,Watch,Fashion,4,455.75,7,EAST,1823.0,2025,7
O100116,C4978,Bag,Fashion,1,155.91,8,east,155.91,2025,8
O100117,C4285,Phone,Electronics,2,912.45,12,EAST,1824.9,2024,12
O100118,C2348,Phone,Electronics,4,415.22,12,east,1660.88,2024,12
O100119,C4198,Bag,Fashion,1,671.34,1,West,671.34,2025,1
O100120,C4727,Watch,Fashion,4,330.89,7,North,1323.56,2025,7
O100121,C5552,Bag,Fashion,1,72.04,3,north,72.04,2025,3
O100122,C4986,Phone,Electronics,2,39.81,2,EAST,79.62,2025,2
O100123,C3430,Headphones,Electronics,3,829.53,3,EAST,2488.59,2025,3
O100124,C1479,Headphones,Electronics,1,925.53,2,north,925.53,2025,2
O100125,C5441,Book,Stationery,4,55.99,3,North,223.96,2025,3
O100126,C3569,Bag,Fashion,2,471.64,7,east,943.28,2025,7
O100127,C5785,Headphones,Electronics,1,816.17,9,West,816.17,2024,9
O100128,C5350,Bag,Fashion,4,498.88,6,West,1995.52,2025,6
O100129,C5160,Shoes,Fashion,4,738.22,11,West,2952.88,2024,11
O100130,C2522,Watch,Fashion,4,32.94,9,EAST,131.76,2025,9
O100131,C1556,Book,Stationery,1,180.73,5,SOUTH,180.73,2025,5
O100132,C2926,Laptop,Electronics,1,375.36,12,EAST,375.36,2024,12
O100133,C5666,Shoes,Fashion,1,152.85,12,SOUTH,152.85,2024,12
O100134,C5870,Bag,Fashion,3,666.8,11,EAST,2000.3999999999999,2024,11
O100135,C1671,Laptop,Electronics,1,567.52,12,West,567.52,2024,12
O100136,C5781,Headphones,Electronics,1,167.65,12,West,167.65,2024,12
O100137,C3591,Watch,Fashion,1,763.79,10,north,763.79,2024,10
O100138,C2673,Bag,Fashion,3,628.58,3,north,1885.7400000000002,2025,3
O100139,C3573,Watch,Fashion,1,704.81,10,EAST,704.81,2024,10
O100140,C4242,Laptop,Electronics,4,619.68,8,West,2478.72,2025,8
O100141,C3457,Bag,Fashion,1,37.61,4,north,37.61,2025,4
O100142,C1594,Headphones,Electronics,4,16.9,2,EAST,67.6,2025,2
O100143,,Bag,Fashion,4,676.21,8,SOUTH,2704.84,2025,8
O100144,C5612,Shoes,Fashion,4,622.0,11,SOUTH,2488.0,2024,11
O100145,C1600,Phone,Electronics,3,886.27,4,SOUTH,2658.81,2025,4
O100146,C5144,Watch,Fashion,3,367.65,6,north,1102.9499999999998,2025,6
O100147,C3859,Phone,Electronics,3,626.25,12,EAST,1878.75,2024,12
O100148,C3001,Headphones,Electronics,1,605.03,4,north,605.03,2025,4
O100149,C2292,Watch,Fashion,4,272.69,6,north,1090.76,2025,6
O100150,C5450,Phone,Electronics,3,463.41,12,north,1390.23,2024,12
O100151,C5333,Book,Stationery,3,694.35,4,north,2083.05,2025,4
O100152,,Bag,Fashion,1,665.29,5,east,665.29,2025,5
O100153,C3452,Headphones,Electronics,3,937.39,6,SOUTH,2812.17,2025,6
O100154,C1848,Phone,Electronics,1,641.8,8,SOUTH,641.8,2025,8
O100155,C2100,Shoes,Fashion,2,868.82,3,EAST,1737.64,2025,3
O100156,C1876,Shoes,Fashion,3,425.15,8,SOUTH,1275.4499999999998,2025,8
O100157,C2273,Headphones,Electronics,2,597.03,6,EAST,1194.06,2025,6
O100158,C5954,Phone,Electronics,1,749.73,6,West,749.73,2025,6
O100159,C3808,Book,Stationery,4,454.05,7,EAST,1816.2,2025,7
O100160,C3162,Shoes,Fashion,3,312.69,5,EAST,938.0699999999999,2025,5
O100161,C3057,Laptop,Electronics,1,832.26,12,EAST,832.26,2024,12
O100162,C1416,Laptop,Electronics,4,171.16,5,EAST,684.64,2025,5
O100163,C4469,Headphones,Electronics,4,155.59,8,West,622.36,2025,8
O100164,C1361,Shoes,Fashion,2,664.79,7,east,1329.58,2025,7
O100165,,Laptop,Electronics,1,682.05,7,north,682.05,2025,7
O100166,C3145,Watch,Fashion,4,764.73,9,SOUTH,3058.92,2025,9
O100167,C4619,Laptop,Electronics,3,261.63,8,West,784.89,2025,8
O100168,C4503,Headphones,Electronics,3,650.2,10,SOUTH,1950.6000000000001,2024,10
O100169,C1916,Bag,Fashion,2,60.88,6,North,121.76,2025,6
O100170,C2221,Phone,Electronics,4,87.96,7,east,351.84,2025,7
O100171,C4024,Watch,Fashion,1,287.79,2,east,287.79,2025,2
O100172,C2213,Laptop,Electronics,3,352.48,9,SOUTH,1057.44,2024,9
O100173,C1342,Headphones,Electronics,4,720.2,6,north,2880.8,2025,6
O100174,C1326,Book,Stationery,4,443.6,1,north,1774.4,2025,1
O100175,C2720,Book,Stationery,2,44.15,4,North,88.3,2025,4
O100176,C1842,Headphones,Electronics,3,794.38,9,EAST,2383.14,2025,9
O100177,C5586,Laptop,Electronics,3,681.53,3,North,2044.59,2025,3
O100178,C4329,Watch,Fashion,1,369.56,7,EAST,369.56,2025,7
O100179,C2266,Headphones,Electronics,3,900.95,4,EAST,2702.8500000000004,2025,4
O100180,C2939,Watch,Fashion,1,995.39,8,North,995.39,2025,8
O100181,C2450,Watch,Fashion,3,242.16,10,EAST,726.48,2024,10
O100182,C1203,Phone,Electronics,2,937.74,4,east,1875.48,2025,4
O100183,C3721,Phone,Electronics,3,983.38,5,West,2950.14,2025,5
O100184,C4372,Watch,Fashion,1,768.51,6,North,768.51,2025,6
O100185,C3032,Bag,Fashion,1,869.06,1,West,869.06,2025,1
O100186,C1885,Watch,Fashion,2,790.47,1,North,1580.94,2025,1
O100187,C1317,Phone,Electronics,3,797.24,5,North,2391.7200000000003,2025,5
O100188,C2822,Watch,Fashion,3,398.49,10,SOUTH,1195.47,2024,10
O100189,C4770,Headphones,Electronics,2,575.56,3,north,1151.12,2025,3
O100190,C2864,Bag,Fashion,3,784.45,10,EAST,2353.3500000000004,2024,10
O100191,C2582,Phone,Electronics,3,609.89,1,east,1829.67,2025,1
O100192,C3282,Shoes,Fashion,1,382.42,3,West,382.42,2025,3
O100193,C3286,Laptop,Electronics,3,119.64,2,North,358.92,2025,2
O100194,C5173,Watch,Fashion,3,677.68,1,North,2033.04,2025,1
O100195,C5392,Watch,Fashion,2,379.84,9,North,759.68,2024,9
O100196,C1226,Laptop,Electronics,2,917.65,11,SOUTH,1835.3,2024,11
O100197,C3139,Watch,Fashion,4,838.3,5,North,3353.2,2025,5
O100198,C3174,Headphones,Electronics,1,323.63,2,north,323.63,2025,2
O100199,C5887,Phone,Electronics,3,498.92,8,SOUTH,1496.76,2025,8
O100200,C3569,Bag,Fashion,3,92.96,5,east,278.88,2025,5
O100201,C5189,Phone,Electronics,4,796.74,10,West,3186.96,2024,10
O100202,C5723,Shoes,Fashion,3,304.67,5,east,914.01,2025,5
O100203,C1363,Bag,Fashion,1,659.01,9,north,659.01,2025,9
O100204,C1013,Laptop,Electronics,4,800.94,10,SOUTH,3203.76,2024,10
O100205,C5410,Watch,Fashion,1,523.36,8,EAST,523.36,2025,8
O100206,C2614,Bag,Fashion,4,617.3,8,north,2469.2,2025,8
O100207,C1573,Phone,Electronics,4,394.03,5,east,1576.12,2025,5
O100208,C3704,Bag,Fashion,2,511.59,10,east,1023.18,2024,10
O100209,C2020,Laptop,Electronics,1,278.66,12,North,278.66,2024,12
O100210,C3460,Watch,Fashion,3,590.29,2,EAST,1770.87,2025,2
O100211,C4345,Phone,Electronics,3,39.69,12,West,119.07,2024,12
O100212,C3422,Phone,Electronics,1,63.02,1,West,63.02,2025,1
O100213,C2571,Book,Stationery,3,956.22,2,EAST,2868.66,2025,2
O100214,C4105,Phone,Electronics,3,797.98,9,east,2393.94,2025,9
O100215,C2425,Laptop,Electronics,1,505.8,5,North,505.8,2025,5
O100216,C3465,Bag,Fashion,4,175.06,10,east,700.24,2024,10
O100217,C1003,Shoes,Fashion,1,735.8,12,North,735.8,2024,12
O100218,C2721,Book,Stationery,4,675.47,10,EAST,2701.88,2024,10
O100219,C5751,Laptop,Electronics,3,446.99,3,West,1340.97,2025,3
O100220,C3639,Headphones,Electronics,3,269.21,10,north,807.6299999999999,2024,10
O100221,C4622,Phone,Electronics,3,31.68,8,West,95.03999999999999,2025,8
O100222,C5187,Shoes,Fashion,2,619.12,11,north,1238.24,2024,11
O100223,C2390,Headphones,Electronics,4,560.05,12,North,2240.2,2024,12
O100224,C3324,Shoes,Fashion,2,213.05,4,West,426.1,2025,4
O100225,C3745,Headphones,Electronics,2,262.14,1,SOUTH,524.28,2025,1
O100226,C2924,Book,Stationery,1,766.03,4,EAST,766.03,2025,4
O100227,C2840,Laptop,Electronics,2,320.75,12,north,641.5,2024,12
O100228,C2207,Watch,Fashion,1,974.14,5,east,974.14,2025,5
O100229,C3005,Shoes,Fashion,1,737.95,7,SOUTH,737.95,2025,7
O100230,C1596,Phone,Electronics,2,113.73,1,West,227.46,2025,1
O100231,C5715,Shoes,Fashion,4,901.86,10,North,3607.44,2024,10
O100232,C4145,Headphones,Electronics,4,95.08,1,north,380.32,2025,1
O100233,C2998,Book,Stationery,4,962.98,8,east,3851.92,2025,8
O100234,C1045,Bag,Fashion,4,911.49,7,SOUTH,3645.96,2025,7
O100235,C1873,Bag,Fashion,4,520.49,1,North,2081.96,2025,1
O100236,C2792,Watch,Fashion,2,801.68,8,SOUTH,1603.36,2025,8
O100237,C5243,Laptop,Electronics,2,862.29,1,east,1724.58,2025,1
O100238,C5566,Headphones,Electronics,3,962.35,10,North,2887.05,2024,10
O100239,C1994,Shoes,Fashion,4,254.03,6,EAST,1016.12,2025,6
O100240,C4806,Shoes,Fashion,2,679.04,3,EAST,1358.08,2025,3
O100241,C5578,Book,Stationery,3,897.58,1,North,2692.7400000000002,2025,1
O100242,C4625,Shoes,Fashion,4,611.64,9,east,2446.56,2025,9
O100243,C5135,Shoes,Fashion,1,669.97,2,North,669.97,2025,2
O100244,C5488,Phone,Electronics,3,728.26,8,east,2184.7799999999997,2025,8
O100245,C2303,Headphones,Electronics,2,598.47,4,SOUTH,1196.94,2025,4
O100246,C4888,Headphones,Electronics,1,819.41,2,EAST,819.41,2025,2
O100247,C3025,Bag,Fashion,1,80.99,2,east,80.99,2025,2
O100248,C3271,Headphones,Electronics,1,360.18,11,north,360.18,2024,11
O100249,C5270,Headphones,Electronics,3,578.99,2,north,1736.97,2025,2
O100250,C2959,Book,Stationery,2,122.2,4,east,244.4,2025,4
O100251,C1634,Headphones,Electronics,1,667.68,11,SOUTH,667.68,2024,11
O100252,C2920,Headphones,Electronics,4,57.05,8,north,228.2,2025,8
O100253,C3619,Bag,Fashion,1,660.78,5,north,660.78,2025,5
O100254,C1660,Watch,Fashion,1,724.6,7,West,724.6,2025,7
O100255,C2894,Bag,Fashion,3,202.57,8,north,607.71,2025,8
O100256,C2251,Phone,Electronics,3,278.62,3,EAST,835.86,2025,3
O100257,C1526,Watch,Fashion,2,937.31,11,north,1874.62,2024,11
O100258,C3710,Laptop,Electronics,4,534.21,4,North,2136.84,2025,4
O100259,C4406,Laptop,Electronics,3,878.2,8,SOUTH,2634.6000000000004,2025,8
O100260,C4441,Book,Stationery,1,44.68,6,West,44.68,2025,6
O100261,C5784,Bag,Fashion,2,160.42,11,east,320.84,2024,11
O100262,C1160,Phone,Electronics,1,658.36,8,North,658.36,2025,8
O100263,C5716,Phone,Electronics,1,421.5,2,east,421.5,2025,2
O100264,C1048,Laptop,Electronics,3,159.09,5,EAST,477.27,2025,5
O100265,C3446,Watch,Fashion,2,618.12,10,North,1236.24,2024,10
O100266,C4432,Laptop,Electronics,4,948.53,7,West,3794.12,2025,7
O100267,C5473,Phone,Electronics,4,664.38,7,EAST,2657.52,2025,7
O100268,C2806,Phone,Electronics,3,138.58,12,SOUTH,415.74,2024,12
O100269,C3235,Phone,Electronics,3,338.27,9,West,1014.81,2024,9
O100270,C1237,Book,Stationery,2,335.22,8,SOUTH,670.44,2025,8
O100271,C4312,Phone,Electronics,4,548.92,9,north,2195.68,2025,9
O100272,C4828,Shoes,Fashion,4,168.15,3,West,672.6,2025,3
O100273,C5375,Shoes,Fashion,4,576.57,7,West,2306.28,2025,7
O100274,C4227,Book,Stationery,1,870.39,11,north,870.39,2024,11
O100275,C1222,Bag,Fashion,4,927.59,4,SOUTH,3710.36,2025,4
O100276,C4511,Watch,Fashion,1,921.78,11,SOUTH,921.78,2024,11
O100277,C4782,Laptop,Electronics,2,550.32,4,EAST,1100.64,2025,4
O100278,C3131,Shoes,Fashion,1,106.46,6,West,106.46,2025,6
O100279,C2733,Watch,Fashion,2,611.71,4,SOUTH,1223.42,2025,4
O100280,C3764,Phone,Electronics,4,968.54,6,EAST,3874.16,2025,6
O100281,C4105,Bag,Fashion,4,854.6,5,North,3418.4,2025,5
O100282,C4453,Watch,Fashion,2,805.34,7,North,1610.68,2025,7
O100283,C1670,Watch,Fashion,3,473.13,4,north,1419.3899999999999,2025,4
O100284,C5418,Watch,Fashion,2,684.67,10,SOUTH,1369.34,2024,10
O100285,C3866,Watch,Fashion,3,610.81,9,east,1832.4299999999998,2025,9
O100286,C1562,Shoes,Fashion,1,542.13,8,North,542.13,2025,8
O100287,C1329,Watch,Fashion,1,449.62,7,EAST,449.62,2025,7
O100288,C3025,Shoes,Fashion,1,389.66,8,north,389.66,2025,8
O100289,C1166,Phone,Electronics,4,298.21,5,SOUTH,1192.84,2025,5
O100290,C2954,Bag,Fashion,1,585.96,11,east,585.96,2024,11
O100291,C1937,Laptop,Electronics,3,935.8,4,north,2807.3999999999996,2025,4
O100292,C2785,Phone,Electronics,1,958.62,4,north,958.62,2025,4
O100293,C3099,Shoes,Fashion,2,484.37,2,North,968.74,2025,2
O100294,C2374,Headphones,Electronics,2,549.91,2,West,1099.82,2025,2
O100295,C1938,Bag,Fashion,4,255.81,3,north,1023.24,2025,3
O100296,C2341,Bag,Fashion,2,477.07,3,SOUTH,954.14,2025,3
O100297,C1885,Watch,Fashion,3,795.43,8,West,2386.29,2025,8
O100298,C3555,Laptop,Electronics,1,184.34,10,north,184.34,2024,10
O100299,C4074,Headphones,Electronics,4,265.94,7,SOUTH,1063.76,2025,7
O100300,C2624,Phone,Electronics,1,83.13,12,EAST,83.13,2024,12
O100301,C2989,Phone,Electronics,1,187.25,2,EAST,187.25,2025,2
O100302,C3470,Headphones,Electronics,3,339.27,2,EAST,1017.81,2025,2
O100303,C5918,Shoes,Fashion,2,52.18,10,West,104.36,2024,10
O100304,C5636,Phone,Electronics,2,275.07,8,SOUTH,550.14,2025,8
O100305,C3844,Laptop,Electronics,1,801.61,10,EAST,801.61,2024,10
O100306,C4035,Headphones,Electronics,4,623.39,7,West,2493.56,2025,7
O100307,C3795,Laptop,Electronics,2,897.57,11,SOUTH,1795.14,2024,11
O100308,,Bag,Fashion,4,426.7,12,east,1706.8,2024,12
O100309,C5015,Phone,Electronics,2,864.95,4,north,1729.9,2025,4
O100310,C3967,Book,Stationery,4,839.73,4,West,3358.92,2025,4
O100311,C4766,Book,Stationery,3,621.58,4,EAST,1864.7400000000002,2025,4
O100312,C4567,Shoes,Fashion,4,505.93,11,SOUTH,2023.72,2024,11
O100313,C5274,Laptop,Electronics,3,650.81,10,EAST,1952.4299999999998,2024,10
O100314,C3212,Headphones,Electronics,3,457.72,4,West,1373.16,2025,4
O100315,C5408,Watch,Fashion,4,993.19,1,West,3972.76,2025,1
O100316,C4808,Book,Stationery,3,527.11,1,SOUTH,1581.33,2025,1
O100317,C5853,Bag,Fashion,1,941.0,9,north,941.0,2025,9
O100318,C3011,Watch,Fashion,3,333.99,8,north,1001.97,2025,8
O100319,C1709,Watch,Fashion,2,282.39,10,east,564.78,2024,10
O100320,C4692,Shoes,Fashion,4,515.16,5,North,2060.64,2025,5
O100321,C4806,Watch,Fashion,1,884.06,10,EAST,884.06,2024,10
O100322,C4104,Laptop,Electronics,4,759.7,7,north,3038.8,2025,7
O100323,C5049,Headphones,Electronics,2,966.64,11,east,1933.28,2024,11
O100324,C2489,Watch,Fashion,2,239.42,10,West,478.84,2024,10
O100325,C3906,Phone,Electronics,2,9.25,4,north,18.5,2025,4
O100326,C3788,Shoes,Fashion,3,918.48,1,east,2755.44,2025,1
O100327,C5883,Shoes,Fashion,3,926.57,5,north,2779.71,2025,5
O100328,C3263,Phone,Electronics,4,140.51,2,EAST,562.04,2025,2
O100329,C5232,Phone,Electronics,4,935.94,1,east,3743.76,2025,1
O100330,C1701,Bag,Fashion,1,991.17,10,SOUTH,991.17,2024,10
O100331,C4329,Book,Stationery,1,983.8,11,West,983.8,2024,11
O100332,C2968,Phone,Electronics,4,418.87,2,SOUTH,1675.48,2025,2
O100333,C5020,Book,Stationery,3,891.07,4,SOUTH,2673.21,2025,4
O100334,C1141,Watch,Fashion,2,8.24,2,North,16.48,2025,2
O100335,C2815,Headphones,Electronics,4,331.65,11,North,1326.6,2024,11
O100336,C2993,Bag,Fashion,1,604.06,4,North,604.06,2025,4
O100337,C5764,Book,Stationery,3,186.09,8,West,558.27,2025,8
O100338,C5534,Phone,Electronics,4,456.41,7,North,1825.64,2025,7
O100339,C4485,Shoes,Fashion,4,665.17,11,North,2660.68,2024,11
O100340,C5508,Book,Stationery,3,68.68,3,West,206.04000000000002,2025,3
O100341,C4717,Laptop,Electronics,4,699.8,1,east,2799.2,2025,1
O100342,C3059,Headphones,Electronics,3,212.75,5,east,638.25,2025,5
O100343,C2577,Laptop,Electronics,2,379.99,10,north,759.98,2024,10
O100344,C5389,Watch,Fashion,3,252.95,9,east,758.8499999999999,2025,9
O100345,C2516,Shoes,Fashion,3,604.8,3,north,1814.3999999999999,2025,3
O100346,C4966,Bag,Fashion,3,115.33,9,east,345.99,2025,9
O100347,C5829,Bag,Fashion,4,841.09,5,North,3364.36,2025,5
O100348,C5297,Headphones,Electronics,4,842.28,12,West,3369.12,2024,12
O100349,C1823,Headphones,Electronics,3,530.35,2,West,1591.0500000000002,2025,2
O100350,C3426,Laptop,Electronics,4,788.69,8,West,3154.76,2025,8
O100351,C2469,Shoes,Fashion,1,481.12,3,EAST,481.12,2025,3
O100352,C5375,Headphones,Electronics,1,246.19,2,North,246.19,2025,2
O100353,C1372,Bag,Fashion,4,720.17,3,EAST,2880.68,2025,3
O100354,C5533,Laptop,Electronics,4,670.73,5,North,2682.92,2025,5
O100355,C2034,Laptop,Electronics,3,410.09,9,West,1230.27,2025,9
O100356,C5021,Phone,Electronics,2,921.52,6,West,1843.04,2025,6
O100357,C1100,Shoes,Fashion,4,74.56,1,SOUTH,298.24,2025,1
O100358,C4845,Phone,Electronics,1,363.34,11,east,363.34,2024,11
O100359,C3791,Book,Stationery,3,556.61,5,EAST,1669.83,2025,5
O100360,C1420,Bag,Fashion,4,405.05,11,east,1620.2,2024,11
O100361,C4913,Phone,Electronics,1,706.72,12,EAST,706.72,2024,12
